y,m,d,Ta,Rs_in,Rl_in,Da,Pa,Prec,u_Zm,Ca,Albedo,emiss,LAI,Hc
2011,7,21,10.475,90.657,311.738,2.98,100.288,0.26,2.902,388.3319355,0.11575,0.984,1.2,28
2011,7,22,10.491,110.785,303.756,2.924,100.232,0.229,1.896,388.2890323,0.1165,0.984,1.2,28
2011,7,23,8.644,100.196,306.163,2.41,100.107,1.698,0.987,388.246129,0.11725,0.984,1.2,28
2011,7,24,9.177,58.326,331.817,1.421,99.582,4.972,1.605,388.2032258,0.118,0.984,1.2,28
2011,7,25,10.584,63.147,345.128,1.229,99.48,3.285,1.639,388.1603226,0.11875,0.984,1.2,28
2011,7,26,8.744,85.538,307.149,2.228,100.191,0.388,2.099,388.1174194,0.1195,0.984,1.2,28
2011,7,27,7.375,120.739,282.409,2.51,100.632,0,1.514,388.0745161,0.12025,0.984,1.2,28
2011,7,28,7.892,135.164,269.299,3.763,100.495,0,2.04,388.0316129,0.121,0.984,1.2,28
2011,7,29,9.346,136.521,274.985,4.908,100.167,0,2.4,387.9887097,0.121375,0.984,1.2,28
2011,7,30,11.113,84.965,311.688,4.995,99.719,1.595,2.656,387.9458065,0.12175,0.984,1.2,28
2011,7,31,10.824,135.148,291.903,3.748,99.636,0,1.849,387.9029032,0.122125,0.984,1.2,28
2011,8,1,12.531,122.379,304.434,5.539,99.597,0.046,2.437,387.86,0.1225,0.984,1.2,28
2011,8,2,13.779,133.36,309.745,6.795,99.565,0.024,2.104,387.8729032,0.122875,0.984,1.2,28
2011,8,3,15.097,136.295,311.816,8.059,99.552,0,2.98,387.8858065,0.12325,0.984,1.2,28
2011,8,4,18.443,128.036,322.892,12.983,99.638,0,3.813,387.8987097,0.123625,0.984,1.2,28
2011,8,5,15.167,110.93,318.865,8.568,99.635,0,3.084,387.9116129,0.124,0.984,1.2,28
2011,8,6,10.447,99.764,313.967,1.976,99.479,5.05,1.377,387.9245161,0.123125,0.984,1.2,28
2011,8,7,7.491,59.803,305.025,1.232,99.242,2.344,0.988,387.9374194,0.12225,0.984,1.2,28
2011,8,8,7.396,97.841,311.354,1.808,98.989,1.233,0.712,387.9503226,0.121375,0.984,1.2,28
2011,8,9,7.849,97.559,315.2,1.812,98.788,2.85,1.662,387.9632258,0.1205,0.984,1.2,28
2011,8,10,10.252,58.462,348.048,1.609,98.658,2.328,1.421,387.976129,0.119625,0.984,1.175,28
2011,8,11,12.073,119.033,321.95,3.421,99.373,0,3.504,387.9890323,0.11875,0.984,1.15,28
2011,8,12,9.238,152.295,283.873,3.045,99.926,0,1.03,388.0019355,0.117875,0.984,1.125,28
2011,8,13,9.025,72.072,326.544,2.277,100.162,0.34,0.761,388.0148387,0.117,0.984,1.1,28
2011,8,14,10.434,117.097,310.047,2.477,100.302,0.928,0.958,388.0277419,0.117625,0.984,1.1,28
2011,8,15,11.02,56.762,335.408,2.999,100,2.593,2.463,388.0406452,0.11825,0.984,1.1,28
2011,8,16,14.236,112.115,348.16,5.426,99.435,1.21,2.768,388.0535484,0.118875,0.984,1.1,28
2011,8,17,11.228,21.819,339.331,1.913,98.543,16.519,3.982,388.0664516,0.1195,0.984,1.1,28
2011,8,18,9.797,44.121,335.916,1.505,98.842,3.379,2.579,388.0793548,0.120125,0.984,1.1,28
2011,8,19,12.327,118.391,336.358,2.989,100.095,0.11,1.523,388.0922581,0.12075,0.984,1.1,28
2011,8,20,12.043,143.607,308.662,3.718,100.933,0,1.283,388.1051613,0.121375,0.984,1.1,28
2011,8,21,11.923,167.742,290.842,5.467,101.359,0,0.826,388.1180645,0.122,0.984,1.1,28
2011,8,22,11.155,177.5,283.314,4.86,101.51,0,1.051,388.1309677,0.122375,0.984,1.1,28
2011,8,23,10.48,178.945,284.076,3.733,101.173,0,2.071,388.143871,0.12275,0.984,1.1,28
2011,8,24,10.502,181.834,282.116,4.02,100.632,0,1.939,388.1567742,0.123125,0.984,1.1,28
2011,8,25,12.951,174.644,294.127,5.874,99.972,0,3.017,388.1696774,0.1235,0.984,1.1,28
2011,8,26,9.372,173.268,283.925,3.839,100.266,0,1.367,388.1825806,0.123875,0.984,1.1,28
2011,8,27,10.526,171.047,290.838,5.117,100.037,0,1.154,388.1954839,0.12425,0.984,1.1,28
2011,8,28,10.69,186.019,284.026,5.042,99.732,0,1.976,388.2083871,0.124625,0.984,1.1,28
2011,8,29,10.939,141.233,307.488,4.491,99.756,0.086,2.228,388.2212903,0.125,0.984,1.1,28
2011,8,30,8.89,169.539,289.566,3.768,100.312,0,1.518,388.2341935,0.125375,0.984,1.1,28
2011,8,31,9.789,148.532,305.248,3.683,100.343,0,1.625,388.2470968,0.12575,0.984,1.1,28
2011,9,1,11.548,175.458,307.494,3.952,100.414,0,1.57,388.26,0.126125,0.984,1.1,28
2011,9,2,12.827,199.464,293.185,5.966,100.398,0,2.06,388.3123333,0.1265,0.984,1.1,28
2011,9,3,15.602,195.515,304.158,8.716,100.028,0,3.887,388.3646667,0.126875,0.984,1.1,28
2011,9,4,16.679,173.732,325.001,8.754,99.806,0,3.028,388.417,0.12725,0.984,1.1,28
2011,9,5,13.532,202.277,306.169,5.69,99.867,0,1.7,388.4693333,0.127625,0.984,1.1,28
2011,9,6,12.504,177.881,294.553,6.16,99.279,0.071,3.227,388.5216667,0.128,0.984,1.1,28
2011,9,7,9,163.836,290.868,4.303,99.872,0,1.558,388.574,0.1285,0.984,1.1,28
2011,9,8,9.601,162.522,303.25,4.854,99.875,0.176,1.171,388.6263333,0.129,0.984,1.1,28
2011,9,9,8.695,147.427,298.894,2.757,99.519,2.022,3.59,388.6786667,0.1295,0.984,1.1,28
